president,datetime,sentiment,tweet,genderpronoun
Obama,10/06/2009 0:00,0,On Monday Supreme Court Nominee Judge Sotomayor fractured her ankle. Sign her virtual cast: http://bit.ly/nBsg0,her
Obama,23/10/2009 0:00,-0.25,Inspired as usual by Miche lle. Watch her discuss what he alth reform means to her as a woman and a mom: http://bit.ly/4cKsIK,her
Obama,19/12/2009 0:00,-0.3,Please read this—Vicki Kennedy says it's time to pass #hcr and finish the work of her late husband's life: http://bit.ly/4ZRfRm,her
Obama,20/04/2010 0:00,0,"Today we lost the godmother of the civil rights movement, Dr. Dorothy height, who devoted her life to those struggling for equality.",her
Obama,5/08/2010 0:00,0.475,Pleased that the Senate has confirmed Elena Kagan as our 112th Supreme Ct. justice. I am confident she will make an outstanding justice.,she
Obama,26/03/2011 0:00,-0.155555556,Saddened to learn about the passing of Geraldine Ferraro. She will forever be remembered as a trailblazer who broke down barriers.,she
Obama,24/05/2011 0:00,0.136363636,Congratulations to Congresswoman-elect Kathy Hochul for her victory tonight in New York's 26th Congressional District.,her
Obama,25/06/2011 0:00,1,"If you have the chance to join President Obama for dinner, what will you talk with him about? We'll RT your best ideas. #DinnerWithBarack",him
Obama,12/07/2011 0:00,0,“For me it’s really simple: it’s a cause I believe in. And I like the T-shirts.” Erin on why she gave to #Obama2012:http://OFA.BO/xrFuG7 ,she
Obama,29/07/2011 0:00,0,Florida voters:Tweet @SenRubioPress and ask him to compromise on a balanced deficit solution,him
Obama,2/08/2011 0:00,0.25,Photo of the day: Rep. Gabby Giffords returned to Congress yesterday for her first vote since January.http://OFA.BO/6m6mrM ,her
Obama,30/08/2011 0:00,0.4,Letter of the week: Fran explains why the Affordable Care Act is important to her as a physician and as a mother:http://OFA.BO/8JpGxG ,her
Obama,8/09/2011 0:00,0.285714286,"“Right now, Warren Buffet pays a lower tax rate than his secretary—an outrage he  has asked us to fix.""",he
Obama,12/09/2011 0:00,0.25,Photos of the day: The First Lady shows off her tennis skills at the US Openhttp://OFA.BO/3zJMEA ,her
Obama,28/09/2011 0:00,0.6,Show President Obama you’re with him in making sure all Americans have a fair shot at success:http://OFA.BO/pv3xuM ,him
Obama,4/10/2011 0:00,0,Let President Obama know you have his back as he  calls on Congress to pass the American Jobs Act: http://OFA.BO/LK3hNc  #passthe bill,him
Obama,4/10/2011 0:00,0,Let President Obama know you have his back as he  calls on Congress to pass the American Jobs Act: http://OFA.BO/LK3hNc  #passthe bill,he
